kata,bobot
blank,-0.4161919618655686
antre,-0.4161034104964523
wa,-0.4129191685882328
bolak,-0.41202040033605086
klo,-0.41201675187420544
gua,-0.40976801697535026
bilang,-0.4087632718547647
baik aplikasi,-0.40664836528657555
benah,-0.40565913902095796
pandawa,-0.40501590132540327
capca,-0.40168393272103287
kuota,-0.4009372181069637
becus,-0.3987323382334395
iya,-0.3943420126798428
keluh,-0.39401762139310825
kembali,-0.393890224005379
cek,-0.3927686576705716
gaji,-0.39218341371747767
keburu,-0.39192146587402055
batal,-0.3903728178598104
bikin ribet,-0.3901939532785599
cs,-0.38951375017147216
tau,-0.3877330862290638
autodebit,-0.38683307310609083
gara,-0.3865955190319364
sulit mudah,-0.3860191021594578
baik sistem,-0.3849090305084406
mahal,-0.3819612601443909
malu,-0.38112200752837005
mlh,-0.3799029828446197
henti,-0.37969399533990267
mental,-0.3793321728908735
heran,-0.37904394430729316
stuck,-0.37603724128308846
nama,-0.37526004894496384
biar mudah,-0.3739418936717759
masukin,-0.3717435829674376
korup,-0.3715993998479987
bantu sulit,-0.37151180192733924
bank,-0.37119662569181106
dokter,-0.3710155257739034
duit,-0.3707761909567789
ngak,-0.3697967729837972
tahun,-0.36885402921653015
aja ribet,-0.3687238644893098
hari,-0.3676886624771066
muak,-0.36663570673568663
ruang,-0.3652703551464279
versi,-0.36348150429922954
lucu,-0.36175477260006134
ttp,-0.3613736201571614
merah,-0.3609805513796925
pasang,-0.3583584447087042
kedip,-0.35804043726310397
nungguin,-0.3557440634962174
ter,-0.35459761881850715
model,-0.35432722170717895
setan,-0.35421014898543995
wajib,-0.3534072506513479
aplikasi buka,-0.3515667105468374
captha,-0.3506449328459847
lemottt,-0.35060814519165695
banget,-0.3501467831530955
nga,-0.34918821311770365
nambah,-0.34886798864633234
beli,-0.34882067575765285
hubung,-0.34852274138692063
web,-0.347839041126539
registrasi,-0.34561465483667064
darurat,-0.34479642032188446
call center,-0.3437595366906625
layan publik,-0.34336636326904557
terima kode,-0.3430690406756478
emosi,-0.34292458274172066
telpon,-0.34272586939706673
loadingnya,-0.34193615496138086
samsek,-0.3396095714093805
crash,-0.3376482462652854
engga,-0.3361403154338416
tuh,-0.3359644815335322
ngulang,-0.33458069856967415
bego,-0.3344129834525507
konfirmasi,-0.33429424589377277
captchanya,-0.33427354408651755
ngk,-0.3340689851643633
log in,-0.3324488874483938
dibenerin,-0.33171641562596116
ktp,-0.3304671970545692
bapuk,-0.3300411495565389
teruss,-0.3298983130578719
perhati,-0.32930350742097614
napa,-0.3287164113089295
batas,-0.3281881015724985
komplain,-0.3281274921724435
aplikasi,-0.32775561946458176
butut,-0.32758979939818816
layan buruk,-0.3255284890393955
plat,-0.32309661250179106
plat merah,-0.32309661250179106
kamera,-0.3226388033342638
ganti,-0.32213246359043407
nyaa,-0.32097423404842684
maintenance,-0.3206963683585412
pasien,-0.3203839648380932
tipu,-0.3202167531482974
tunggu,-0.31932780759387075
surat,-0.31929623628513226
screen,-0.3184850352921608
smsnya,-0.318479317346678
gjls,-0.31832909003958604
ap,-0.31801144060492437
